Reading
バー
調べ
すっごい
なんてこと
オーケー
っぱなし
スピリッツ
髪
チケット
１度
うわ
分かんない
お酒
ことができる
フィルム
お姉ちゃん
ってか
急に
タクシー
だらけ
お前たち
すっげえ
デパート
リズム
いつか
関係ない
ボート
他にも
１日
のように
中には
ストーカー
赤
